time,day,pickup,dropoff,probability
1440,1,41,2,0.00235968114955213
1440,1,62,2,9.391765769361713e-05
1440,1,96,77,0.010072668787640435
1440,1,26,77,2.347941442340428e-05
1440,1,32,2,9.391765769361713e-05
1440,1,9,77,0.017468684331012785
1440,1,14,2,7.043824327021284e-05
1440,1,79,2,2.347941442340428e-05
1440,1,76,77,0.008898698066470222
1440,1,42,77,0.010882708585247884
1440,1,59,77,0.0003756706307744685
1440,1,17,2,1.173970721170214e-05
1440,1,25,77,0.006985125790962774
1440,1,38,2,0.000586985360585107
1440,1,92,77,0.028691844425400032
1440,1,69,2,0.005599840339981921
1440,1,55,2,1.173970721170214e-05
1440,1,75,77,0.008546506850119158
1440,1,3,2,0.00012913677932872354
1440,1,8,2,1.173970721170214e-05
1440,1,51,77,0.01360632065836278
1440,1,32,77,0.02594475293786173
1440,1,5,77,0.029090994470597903
1440,1,14,77,0.015449454690600016
1440,1,60,2,1.173970721170214e-05
1440,1,55,77,7.043824327021284e-05
1440,1,48,77,0.017198671065143636
1440,1,47,77,0.02606215000997875
1440,1,50,2,1.173970721170214e-05
1440,1,97,77,0.001760956081755321
1440,1,31,2,1.173970721170214e-05
1440,1,28,77,0.0006574236038553199
1440,1,11,77,0.024277714513800026
1440,1,20,77,0.00351017245629894
1440,1,72,77,0.011364036580927672
1440,1,72,2,1.173970721170214e-05
1440,1,86,77,0.01580164590695108
1440,1,44,2,2.347941442340428e-05
1440,1,44,77,0.01723389018677874
1440,1,95,77,0.007666028809241498
1440,1,88,77,0.0012091898428053204
1440,1,93,77,0.002700132658691492
1440,1,85,77,0.022786771697913853
1440,1,43,2,1.173970721170214e-05
1440,1,7,77,0.00011739707211702141
1440,1,0,77,0.012373651401134056
1440,1,68,77,0.013148472077106397
1440,1,2,2,0.01935877719209683
1440,1,49,77,0.002841009145231918
1440,1,58,77,0.0004578485812563835
1440,1,33,2,0.00015261619375212782
1440,1,82,77,0.013841114802596824
1440,1,67,77,0.00023479414423404282
1440,1,65,77,0.018807010953146828
1440,1,90,2,2.347941442340428e-05
1440,1,24,77,0.018947887439687255
1440,1,24,2,4.695882884680856e-05
1440,1,21,77,0.00015261619375212782
1440,1,71,2,0.0005752456533734049
1440,1,40,77,0.03585306582453834
1440,1,45,77,0.00999049083715852
1440,1,54,77,0.015989481222338314
1440,1,27,2,0.0011974501355936182
1440,1,80,2,2.347941442340428e-05
1440,1,37,77,0.004238034303424473
1440,1,61,2,3.521912163510642e-05
1440,1,66,2,0.0007396015543372349
1440,1,87,77,0.012925417640084057
1440,1,97,2,7.043824327021284e-05
1440,1,18,77,0.00016435590096382997
1440,1,47,2,2.347941442340428e-05
1440,1,3,77,0.01638863126753619
1440,1,10,77,0.0006574236038553199
1440,1,78,77,0.0008804780408776605
1440,1,60,77,0.021190171517122363
1440,1,17,77,0.01557859146992874
1440,1,94,77,0.017257369601202145
1440,1,42,2,1.173970721170214e-05
1440,1,23,2,2.347941442340428e-05
1440,1,6,77,0.000751341261548937
